
2025/01/07 (22:25:36) | ===> btop++ v.1.4.0
2025/01/07 (22:25:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (19:12:00) | ===> btop++ v.1.4.0
2025/01/10 (19:12:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (18:11:53) | ===> btop++ v.1.4.0
2025/01/29 (18:11:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (18:16:05) | ===> btop++ v.1.4.0
2025/01/29 (18:16:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (18:18:17) | ===> btop++ v.1.4.0
2025/01/29 (18:18:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (18:18:29) | ===> btop++ v.1.4.0
2025/01/29 (18:18:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (18:19:25) | ===> btop++ v.1.4.0
2025/01/29 (18:19:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (00:08:02) | ===> btop++ v.1.4.0
2025/01/30 (00:08:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (17:51:37) | ===> btop++ v.1.4.0
2025/01/30 (17:51:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (11:34:43) | ===> btop++ v.1.4.0
2025/02/02 (11:34:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (00:04:12) | ===> btop++ v.1.4.0
2025/02/12 (00:04:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (13:26:33) | ===> btop++ v.1.4.0
2025/02/17 (13:26:33) | WARNING: Failed to join _runner thread on exit!

2025/02/17 (21:20:26) | ===> btop++ v.1.4.0
2025/02/17 (21:20:34) | ERROR: Stall in Runner thread, restarting!
